DATE,CumuleA,CumuleB
2020-12-28,300,
2020-12-29,311,10
2020-12-30,797,19
2020-12-31,807,
2021-01-01,808,
2021-01-02,821,32
2021-01-04,826,34
2021-01-05,2547,51
2021-01-06,6459,73
2021-01-07,14765,85
2021-01-08,24053,123
2021-01-09,27274,134
2021-01-10,27677,135
2021-01-11,33265,146
2021-01-12,49189,167
2021-01-13,70790,287
2021-01-14,94108,301
2021-01-15,117665,328
2021-01-16,122863,338
2021-01-17,126079,
2021-01-18,137032,465
2021-01-19,156162,679
2021-01-20,177199,1160
2021-01-21,207434,1198
2021-01-22,237320,1285
2021-01-23,245730,1318
2021-01-24,247611,
2021-01-25,258908,1343
2021-01-26,269965,3102
2021-01-27,283173,6566
2021-01-28,299043,14207
2021-01-29,311276,23224
2021-01-30,312879,26127
2021-01-31,313454,26470
2021-02-01,317404,30280
2021-02-02,327571,44502
2021-02-03,337706,65128
2021-02-04,347729,89312
2021-02-05,355671,112196
2021-02-06,356857,117526
2021-02-07,357172,120595
2021-02-08,359555,128385
2021-02-09,367683,148099
2021-02-10,374211,167063
2021-02-11,382302,195292
2021-02-12,388967,223425
2021-02-13,389541,231522
2021-02-14,389614,233378
2021-02-15,391673,245032
2021-02-16,396007,255536
2021-02-17,403228,268265
2021-02-18,413985,285418
2021-02-19,431938,298424
2021-02-20,436309,300017
2021-02-21,438199,300282
2021-02-22,447939,303188
2021-02-23,459917,311183
2021-02-24,474755,319444
2021-02-25,497423,328508
2021-02-26,522552,335288
2021-02-27,526092,336091
2021-02-28,526675,336346
2021-03-01,537378,339084
2021-03-02,554101,345907
2021-03-03,578094,352026
2021-03-04,618833,360625
2021-03-05,656518,367200
2021-03-06,664174,367816
2021-03-07,665470,367995
2021-03-08,680748,369971
2021-03-09,702150,377379
2021-03-10,728901,386548
2021-03-11,772848,396572
2021-03-12,803720,410175
2021-03-13,811298,412359
2021-03-14,811445,413631
2021-03-15,837314,418273
2021-03-16,879828,422497
2021-03-17,918950,431281
2021-03-18,977173,448126
2021-03-19,1026048,466887
2021-03-20,1046850,468477
2021-03-21,1047245,468990
2021-03-22,1074546,474228
2021-03-23,1116778,479869
2021-03-24,1167937,490377
2021-03-25,1225711,510062
2021-03-26,1275288,529246
2021-03-27,1293700,533026
2021-03-28,1295100,533977
2021-03-29,1313363,539218
2021-03-30,1339656,544910
2021-03-31,1413202,556077
2021-04-01,1489986,580763
2021-04-02,1554341,599323
2021-04-03,1573790,600723
2021-04-04,1573807,600792
2021-04-05,1585767,603426
2021-04-06,1623453,612559
2021-04-07,1661492,623002
2021-04-08,1770281,639486
2021-04-09,1889395,655140
2021-04-10,1954010,659136
2021-04-11,1957601,659452
2021-04-12,1997257,668465
2021-04-13,2061254,676871
2021-04-14,2137244,701481
2021-04-15,2222040,728063
2021-04-16,2298609,745379
2021-04-17,2350909,751153
2021-04-18,2356816,751227
2021-04-19,2413382,755548
2021-04-20,2460387,758626
2021-04-21,2547667,763104
2021-04-22,2637512,768988
2021-04-23,2702248,776016
2021-04-24,2746695,777792
2021-04-25,2752968,777811
2021-04-26,2808896,784622
2021-04-27,2847249,799069
2021-04-28,2926612,814258
2021-04-29,3013906,833748
2021-04-30,3074318,856340
2021-05-01,3114060,864357
2021-05-02,3117546,864459
2021-05-03,3183873,879436
2021-05-04,3251236,898311
2021-05-05,3335502,972406
2021-05-06,3423886,1050336
2021-05-07,3524416,1109343
2021-05-08,3604895,1120616
2021-05-09,3612736,1120722
2021-05-10,3692150,1126575
2021-05-11,3750823,1137655
2021-05-12,3815954,1166813
2021-05-13,3854455,1247397
2021-05-14,3896833,1351024
2021-05-15,3929220,1406320
2021-05-16,3931455,1410148
2021-05-17,4017299,1435929
2021-05-18,4119321,1469554
2021-05-19,4197268,1536908
2021-05-20,4266259,1619242
2021-05-21,4335792,1680621
2021-05-22,4379996,1725815
2021-05-23,4386796,1728563
2021-05-24,4413244,1765017
2021-05-25,4472729,1811698
2021-05-26,4508545,1903187
2021-05-27,4549899,2005083
2021-05-28,4588830,2079949
2021-05-29,4631502,2129623
2021-05-30,4635885,2136757
2021-05-31,4701854,2193964
2021-06-01,4766024,2241579
2021-06-02,4846676,2331510
2021-06-03,4939384,2428366
2021-06-04,5020820,2502010
2021-06-05,5109849,2553365
2021-06-06,5134986,2559231
2021-06-07,5234123,2636123
2021-06-08,5317090,2715376
2021-06-09,5409029,2824259
2021-06-10,5489814,2941654
2021-06-11,5577914,3050097
2021-06-12,5655803,3119216
2021-06-13,5670824,3127827
2021-06-14,5746778,3214548
2021-06-15,5829236,3289138
2021-06-16,5896988,3327377